Run on Darwin 25.6.0
CPU: Apple M3 Pro
Cores: 11
Memory: 36.00 GB

| name                                     | met (ms)            | iters | DataMovement (GB/s) | min (ms) | mean (ms)           | max (ms) | duration (ms) |
| ---------------------------------------- | ------------------- | ----- | ------------------- | -------- | ------------------- | -------- | ------------- |
| ParseTwitter                             | 1.0996899999999998  | 100   | 0.5742763869817858  | 1.09969  | 1.0996899999999998  | 1.09969  | 109.969       |
| ParseTwitterNoStrictMode                 | 1.079               | 100   | 0.5852882298424469  | 1.079    | 1.079               | 1.079    | 107.9         |
| ParseCitmCatalog                         | 1.99835             | 100   | 0.8643150599244376  | 1.99835  | 1.99835             | 1.99835  | 199.835       |
| ParseCitmCatalogWithReflection           | 1.56564             | 100   | 1.1031935821772567  | 1.56564  | 1.56564             | 1.56564  | 156.564       |
| ParseCitmCatalogWithReflectionLazy       | 0.69241             | 100   | 2.494481593275661   | 0.69241  | 0.69241             | 0.69241  | 69.241        |
| ParseCitmCatalogMinify                   | 1.71822             | 100   | 0.2911728416617197  | 1.71822  | 1.71822             | 1.71822  | 171.822       |
| ParseCitmCatalogWithReflectionLazyMinify | 0.32848999999999995 | 100   | 1.5230265761514812  | 0.32849  | 0.32848999999999995 | 0.32849  | 32.849        |
| ParseCanada                              | 7.161359999999999   | 100   | 0.3143328920763654  | 7.16136  | 7.161359999999999   | 7.16136  | 716.136       |
| ParseCanadaWithReflection                | 2.33911             | 100   | 0.9623536302268811  | 2.33911  | 2.33911             | 2.33911  | 233.911       |
| ParseTwitterDoc                          | 0.51929             | 100   | 1.216133566985692   | 0.51929  | 0.51929             | 0.51929  | 51.929        |
| ParseCitmCatalogDoc                      | 0.8235399999999999  | 100   | 2.0972921776720015  | 0.82354  | 0.8235399999999999  | 0.82354  | 82.354        |
| ParseCitmCatalogMinifyDoc                | 0.66141             | 100   | 0.7564128150466428  | 0.66141  | 0.66141             | 0.66141  | 66.141        |
| ParseCanadaDoc                           | 2.35131             | 100   | 0.9573603650730869  | 2.35131  | 2.35131             | 2.35131  | 235.131       |
| Stage1Twitter                            | 0.09996000000000001 | 100   | 6.317787114845939   | 0.09996  | 0.09996000000000001 | 0.09996  | 9.996         |
| Stage1CitmCatalog                        | 0.24228000000000002 | 100   | 7.128958230146939   | 0.24228  | 0.24228000000000002 | 0.24228  | 24.228        |
| Stage1CitmCatalogMinify                  | 0.12923             | 100   | 3.8713843534782946  | 0.12923  | 0.12923             | 0.12923  | 12.923        |
| Stage1Canada                             | 0.38692             | 100   | 5.817871911506255   | 0.38692  | 0.38692             | 0.38692  | 38.692        |
| ParsePointerTwitter                      | 0.19486             | 100   | 3.2409216873652884  | 0.19486  | 0.19486             | 0.19486  | 19.486        |
| ParsePointerCitmCatalog                  | 0.44898000000000005 | 100   | 3.8469508664083034  | 0.44898  | 0.44898000000000005 | 0.44898  | 44.898        |
| ParsePointerCanada                       | 0.44783             | 100   | 5.026574816336556   | 0.44783  | 0.44783             | 0.44783  | 44.783        |
| Utf8ValidateTwitter                      | 0.03415             | 100   | 18.492708638360178  | 0.03415  | 0.03415             | 0.03415  | 3.415         |
| Utf8ValidateCanada                       | 0.07575             | 100   | 29.71684488448845   | 0.07575  | 0.07575             | 0.07575  | 7.575         |
| ParseLargeJsonl                          | 30.566819999999996  | 100   | 0.3853750570062572  | 30.56682 | 30.566819999999996  | 30.56682 | 3056.682      |
| ParseExtraLarge                          | 1.31973             | 100   | 0.23568608730573679 | 1.31973  | 1.31973             | 1.31973  | 131.973       |
| ParseExtraLargeDoc                       | 0.49335999999999997 | 100   | 0.6304564618128751  | 0.49336  | 0.49335999999999997 | 0.49336  | 49.336        |
| ParseHeavyUnicode                        | 0.01046             | 100   | 0.44569789674952204 | 0.01046  | 0.01046             | 0.01046  | 1.046         |
| ParseHeavyIgnoreUnicode                  | 0.00875             | 100   | 0.5327999999999999  | 0.00875  | 0.00875             | 0.00875  | 0.875         |
| ParseStatusBatch                         | 0.99009             | 100   | 0.4711450474199316  | 0.99009  | 0.99009             | 0.99009  | 99.009        |
| ParseStatusBatchDoc                      | 0.60055             | 100   | 0.7767479810174008  | 0.60055  | 0.60055             | 0.60055  | 60.055        |
| ParseUserBatch                           | 1.34193             | 100   | 0.23104111242762287 | 1.34193  | 1.34193             | 1.34193  | 134.193       |
| ParseUserBatchDoc                        | 1.18196             | 100   | 0.26231090730650786 | 1.18196  | 1.18196             | 1.18196  | 118.196       |
| ParseUserBatchWithReflection             | 1.2766              | 100   | 0.24286464045119852 | 1.2766   | 1.2766              | 1.2766   | 127.66        |
| StringifyCanada                          | 2.54104             | 100   | 0.8225899631646886  | 2.54104  | 2.54104             | 2.54104  | 254.104       |
| StringifyCanadaWithReflection            | 2.17035             | 100   | 0.9631285276568294  | 2.17035  | 2.17035             | 2.17035  | 217.035       |
| StringifyTwitter                         | 0.31961             | 100   | 1.460899220925503   | 0.31961  | 0.31961             | 0.31961  | 31.961        |
| StringifyCitmCatalogWithReflection       | 0.55045             | 100   | 0.908890907439368   | 0.55045  | 0.55045             | 0.55045  | 55.045        |
| StringifyCitmCatalog                     | 0.50795             | 100   | 0.9849374938478198  | 0.50795  | 0.50795             | 0.50795  | 50.795        |
| MinifyCitmCatalog                        | 1.4682400000000002  | 100   | 1.1763771590475673  | 1.46824  | 1.4682400000000002  | 1.46824  | 146.824       |
| WritePrettyCitmCatalog                   | 0.76967             | 100   | 0.6500175399846688  | 0.76967  | 0.76967             | 0.76967  | 76.967        |
| WritePrettyTwitter                       | 0.38622             | 100   | 1.2089430894308946  | 0.38622  | 0.38622             | 0.38622  | 38.622        |
| WritePrettyCanada                        | 3.4995100000000003  | 100   | 0.5972933353526637  | 3.49951  | 3.4995100000000003  | 3.49951  | 349.951       |

